Date,Open,High,Low,Close,Volume,Adj Close
2011-08-26,11426.79,11684.0,11426.79,11628.06,3741070000,11628.06
2011-08-25,11415.23,11501.29,11263.63,11430.21,4032590000,11430.21
2011-08-24,11345.94,11511.06,11240.18,11417.43,4555030000,11417.43
2011-08-23,11478.09,11501.45,11260.53,11348.55,4159760000,11348.55
2011-08-22,11659.65,11744.49,11410.18,11479.39,3829290000,11479.39
2011-08-19,11611.21,11776.41,11540.05,11659.9,4041820000,11659.9
2011-08-18,11532.07,11744.33,11399.84,11615.93,4064000000,11615.93
2011-08-17,11632.81,11689.05,11377.37,11532.96,4787600000,11532.96
2011-08-16,11781.7,11830.39,11541.43,11642.47,4711290000,11642.47
2011-08-15,11729.67,11933.55,11580.19,11782.35,5067310000,11782.35
2011-08-12,11432.09,11808.49,11344.23,11734.32,4966810000,11734.32
2011-08-11,11655.42,11680.5,11355.63,11431.43,5319380000,11431.43
2011-08-10,11603.64,11745.71,11454.64,11656.07,4873420000,11656.07
2011-08-09,11286.02,11652.24,11286.02,11615.77,1219310000,11615.77
2011-08-08,11326.32,11449.67,11144.59,11284.15,4562280000,11284.15
2011-08-05,11379.89,11512.61,11205.41,11326.32,4684870000,11326.32
2011-08-04,11577.99,11631.16,11317.69,11378.02,5346050000,11378.02
2011-08-03,11397.56,11681.47,11328.68,11583.69,5631330000,11583.69
2011-08-02,11133.44,11444.05,11086.13,11397.56,5414240000,11397.56
2011-08-01,11369.47,11439.25,11094.76,11131.08,4282960000,11131.08
2011-07-29,11341.14,11540.78,11252.47,11370.69,4672560000,11370.69
2011-07-28,11630.34,11714.21,11288.79,11349.28,6127980000,11349.28
2011-07-27,11603.39,11820.21,11410.02,11632.38,6705830000,11632.38
2011-07-26,11457.9,11692.79,11273.32,11602.5,6180230000,11602.5
2011-07-25,11495.02,11663.4,11339.02,11467.34,4630640000,11467.34
2011-07-22,11436.56,11599.57,11290.5,11496.57,5653280000,11496.57
2011-07-21,11238.39,11538.5,11118.46,11446.66,7365209600,11446.66
2011-07-20,10961.89,11308.41,10831.61,11239.28,6738630400,11239.28
2011-07-19,11050.8,11201.67,10731.96,10962.54,7363640000,10962.54
2011-07-18,11103.64,11299.7,10972.63,11055.19,5434860000,11055.19
2011-07-15,11226.17,11292.04,10908.64,11100.54,6742200000,11100.54
2011-07-14,11148.01,11351.24,11006.01,11229.02,5840430000,11229.02
2011-07-13,11381.93,11505.12,11115.61,11147.44,5181000000,11147.44
2011-07-12,11225.03,11459.52,11101.19,11384.21,6034110000,11384.21
