source,target,value
Kasganj Mg,Bareilly MG,1
Balurghat,Malda Town,1
Lumding Junction,Lower Haflong,1
Lower Haflong,Lumding Junction,1
Asansol Junction,Barddhaman Junction,1
KasGanj,Mathura Junction,1
Mathura Junction,KasGanj,1
Dhasa Junction,Jetalsar Junction,1
Jetalsar Junction,Dhasa Junction,1
Barddhaman Junction,Kolkata Howrah Junction,1
Porbandar,Kanalas Junction,1
Kanalas Junction,Porbandar,1
Gevra Road,Bilaspur Junction,1
Ambala Cantt. Junction,Dhuri Junction,1
Bhatinda Junction,Fazilka,1
Sahibganj Junction,Malda Town,1
Fazilka,Bhatinda Junction,1
Nadiad Junction,Modasa,1
Modasa,Nadiad Junction,1
Chhapra Junction,Thawe Junction,1
Thawe Junction,Chhapra Junction,1
Barddhaman Junction,Asansol Junction,1
Mahbubnagar,Hyderabad Kacheguda,1
Malda Town,Sahibganj Junction,1
Patan,Ahmedabad Junction,1
Sitapur,Mailani,1
Nagbhir Junction,Itwari,1
Itwari,Nagbhir Junction,1
Kolkata Howrah Junction,Barddhaman Junction,1
KasGanj,Farrukhabad,1
Farrukhabad,KasGanj,1
Amritsar Junction,Pathankot,1
Pathankot,Amritsar Junction,1
Shoranur Junction,Ernakulam Junction (South),1
Barauni Junction,Saharsa Junction,1
Ahmedabad Junction,Patan,1
Saharsa Junction,Barauni Junction,1
Najibabad Junction,Gajraula Junction,1
Ernakulam Junction (South),Shoranur Junction,1
Prayag,Jaunpur Junction,1
Mailani,Sitapur,1
Gajraula Junction,Najibabad Junction,1
Jaunpur Junction,Prayag,1
Dornakal Junction,Manuguru,1
Tirumalpur,Chennai Beach,1
Jogbani,Katihar Junction,1
Chennai Beach,Tirumalpur,1
Kolkata Sealdah,Namkhana,1
Namkhana,Kolkata Sealdah,1
Katihar Junction,Jogbani,1
Danapur,Rajgir,1
Rajgir,Danapur,1
Hazaribagh Road,Gaya Junction,1
Jaynagar,Samastipur Junction,1
Samastipur Junction,Jaynagar,1
Madgaon Junction,Sawantwadi Road,1
Asansol Junction,Jasidih Junction,1
Sawantwadi Road,Madgaon Junction,1
Bijapur,Solapur Junction,1
Bilaspur Junction,Raipur Junction,1
Solapur Junction,Bijapur,1
Huzur Sahib Nanded,Nizamabad,1
Chhapra Junction,Bhatni Junction,1
