constituency,file_src,alliance
sivakasi,sivakasi/dmdk_sudhagaran.jpg,
sivakasi,sivakasi/admk_rajendrabalaji.jpg,
arani,arani/bjp.JPG,
arani,arani/ntk.JPG,
arani,arani/pmk.JPG,
arani,arani/admk.JPG,
arani,arani/dmdk.JPG,
arani,arani/dmk.JPG,
thuraiyur,thuraiyur/ijk_ananthan.jpg,
thuraiyur,thuraiyur/admk_myvizhi.jpg,
thuraiyur,thuraiyur/vck_sujadevi.jpg,
thuraiyur,thuraiyur/naam_sathya.jpg,
thuraiyur,thuraiyur/dmk_stalinkumar.jpg,
thoothukudi,thoothukudi/bjp.JPG,
thoothukudi,thoothukudi/bjp_.JPG,
thoothukudi,thoothukudi/mdmk_fathima babu.JPG,
thoothukudi,thoothukudi/naam tamilar_mariya judy.JPG,
thoothukudi,thoothukudi/pmk_sesaiya.JPG,
thoothukudi,thoothukudi/selapandi_admk.jpg,
thoothukudi,thoothukudi/dmk_geethajeevan.JPG,
dharapuram,dharapuram/mnk.jpg,
dharapuram,dharapuram/pichamuthu.jpg,
dharapuram,dharapuram/pmk.jpg,
dharapuram,dharapuram/cong_kalimutthu.jpg,
dharapuram,dharapuram/bjp_sanmugam.jpg,
dharapuram,dharapuram/palaniammal_kongu.jpg,
dharapuram,dharapuram/admk.jpg,
oorathanadu,oorathanadu/vaithiyalingam.jpg,
oorathanadu,oorathanadu/ramachandren.jpg,
oorathanadu,oorathanadu/kandasamy.jpg,
oorathanadu,oorathanadu/ramanathan.jpg,
oorathanadu,oorathanadu/saravana_ayyapan_pmk.jpg,
tiruchuli,tiruchuli/dmdk_raju.jpg,
tiruchuli,tiruchuli/bjp_bala_ravirajan.jpg,
tiruchuli,tiruchuli/namtamilar_palanisamy.jpg,
tiruchuli,tiruchuli/admk_dinesh_babu.jpg,
tiruchuli,tiruchuli/pmk_muniyasami.jpg,
tiruchuli,tiruchuli/dmk_thangam_therarasu.jpg,
thiruthuraipoondi,thiruthuraipoondi/pmk_rajmohan.jpg,
thiruthuraipoondi,thiruthuraipoondi/dmk_adalarasan.jpg,
thiruthuraipoondi,thiruthuraipoondi/cpm_loganathan.jpg,
thiruthuraipoondi,thiruthuraipoondi/naam_saravanakumar.jpg,
thiruthuraipoondi,thiruthuraipoondi/bjp_udhyakumar.jpg,
thiruthuraipoondi,thiruthuraipoondi/admk_umamaheshwari.jpg,
trichy west,trichy west/pmk.jpg,
trichy west,trichy west/ijk.jpg,
trichy west,trichy west/dmdk.jpg,
trichy west,trichy west/nam_tamilar.jpg,
