ST_NAME,year,AC_NO,rank,constituency,AC_TYPE,name,SEX,AGE,CATEGORY,votes,party,color
Pondicherry,1985,26,1,Tirunallar,GEN,A. SONUDARARENGAN,M,,,4246,IND,#888888
Pondicherry,1985,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,5870,INC,#019733
Pondicherry,1985,28,1,Mahe,GEN,P.K. SATHYANANDAN,M,,,3695,INC,#019733
Pondicherry,1985,29,1,Palloor,GEN,A.V. SREEDHARAN,M,,,3766,INC,#019733
Pondicherry,1985,30,1,Yanam,GEN,KAMICHETTY SRI PARASSORAMA VARAPRASSADA RAO,M,,,2884,INC,#019733
Pondicherry,1990,1,1,Muthialpet,GEN,G. PALANIRAJA,M,,,10571,DMK,#800000
Pondicherry,1990,2,1,Cassicade,GEN,P. KANNAN,M,,,6040,INC,#019733
Pondicherry,1990,3,1,Raj Bhavan,GEN,S. P. SIVAKUMAR,M,,,2528,DMK,#800000
Pondicherry,1990,4,1,Bussy,GEN,C. M. ACHRAFF,M,,,2692,INC,#019733
Pondicherry,1990,5,1,Oupalam,GEN,N. NAGHAMUTHU,M,,,7378,DMK,#800000
Pondicherry,1990,6,1,Orleampeth,GEN,N. MANIMARAN,M,,,8076,DMK,#800000
Pondicherry,1990,7,1,Nellithope,GEN,R. V. JANKIRAMAN,M,,,6601,DMK,#800000
Pondicherry,1990,8,1,Modeliarpeth,GEN,M. MANJINI,M,,,8905,CPI,#DE0000
Pondicherry,1990,9,1,Ariankuppam,GEN,A. BAKTHKAVACHALAM,M,,,5950,JD,#222
Pondicherry,1990,10,1,Embalom,SC,K. DEIVANAYAGAM,M,,,4669,JD,#222
Pondicherry,1990,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,7332,INC,#019733
Pondicherry,1990,12,1,Kuruvinatham,GEN,R. RAMANATHAN,M,,,6072,DMK,#800000
Pondicherry,1990,13,1,Bahour,SC,P. RAJAVELU,M,,,8223,JD,#222
Pondicherry,1990,14,1,Thirubuvanai,SC,D. VISWANATHAN,M,,,6743,ADMK,#9DBC2A
Pondicherry,1990,15,1,Mannadipeth,GEN,D. RAMACHANDIRAN,M,,,7802,DMK,#800000
Pondicherry,1990,16,1,Ossudu,SC,N. MARIMUTHU,M,,,5242,INC,#019733
Pondicherry,1990,17,1,Villenour,GEN,P. ANANDA BASKARAN,M,,,8442,INC,#019733
Pondicherry,1990,18,1,Ozhukarai,GEN,M. RASAN ALIAS VAZHUMUNI,M,,,8749,DMK,#800000
Pondicherry,1990,19,1,Thattanchavady,GEN,V. PETHAPERUMAL,M,,,9503,JD,#222
Pondicherry,1990,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,11153,CPI,#DE0000
Pondicherry,1990,21,1,Lawspet,GEN,M. O. H. FAROOK,M,,,12637,INC,#019733
Pondicherry,1990,22,1,Cotchery,GEN,M. VAITHILINGAM,M,,,5189,INC,#019733
Pondicherry,1990,23,1,Karaikal,GEN,S. M. THAVASU,M,,,5394,INC,#019733
Pondicherry,1990,24,1,Karaikal South,GEN,S. RAMASSAMY,M,,,6012,ADMK,#9DBC2A
Pondicherry,1990,25,1,Neravy-Grand Aldee,GEN,V. GANAPATHY,M,,,7102,ADMK,#9DBC2A
Pondicherry,1990,26,1,Tirunallar,GEN,R. KAMALAKKANNAN,M,,,4124,IND,#888888
Pondicherry,1990,27,1,Neduncadu,SC,M. CHANDIRAKASSU,M,,,6174,INC,#019733
Pondicherry,1990,28,1,Mahe,GEN,E. VALSARAJ,M,,,5142,INC,#019733
Pondicherry,1990,29,1,Palloor,GEN,A. V. SREEDHARAN,M,,,5288,INC,#019733
Pondicherry,1990,30,1,Yanam,GEN,RAKSHA HARIKRISHNA,M,,,4632,DMK,#800000
Pondicherry,1991,1,1,Muthialpet,GEN,M. BALASUBRAMANIAM,M,,,9175,ADMK,#9DBC2A
Pondicherry,1991,2,1,Cassicade,GEN,M. ELANGO,M,,,4927,JD,#222
Pondicherry,1991,3,1,Raj Bhavan,GEN,A. GANDHIRAJ,M,,,2381,INC,#019733
Pondicherry,1991,4,1,Bussy,GEN,C. M.K ACHRAFF,M,,,3083,INC,#019733
Pondicherry,1991,5,1,Oupalam,GEN,U. C. ARUMUGAN,M,,,7352,ADMK,#9DBC2A
Pondicherry,1991,6,1,Orleampeth,GEN,K.PARASURAMAN,M,,,8697,ADMK,#9DBC2A
Pondicherry,1991,7,1,Nellithope,GEN,R. V. JANAKIRAMAN,M,,,7067,DMK,#800000
Pondicherry,1991,8,1,Modeliarpeth,GEN,V. KOTHANDARAMAN ALIAS SABAPATHY,M,,,8230,IND,#888888
Pondicherry,1991,9,1,Ariankuppam,GEN,P. SUBBURAYAN,M,,,5794,DMK,#800000
Pondicherry,1991,10,1,Embalom,SC,K. PAKKIRI AMMAL,F,,,4171,INC,#019733
Pondicherry,1991,11,1,Nettapakkam,GEN,V. VAITHILINGAM,M,,,8095,INC,#019733
Pondicherry,1991,12,1,Kuruvinatham,GEN,T. THIAGARAJAN,M,,,6765,INC,#019733
Pondicherry,1991,13,1,Bahour,SC,P. RAJAVELU,M,,,6377,IND,#888888
Pondicherry,1991,14,1,Thirubuvanai,SC,D. VISWANATHAN,M,,,7453,ADMK,#9DBC2A
Pondicherry,1991,15,1,Mannadipeth,GEN,N. RAJARAM,M,,,7771,INC,#019733
Pondicherry,1991,16,1,Ossudu,SC,N. MARIMUTHU,M,,,7293,INC,#019733
Pondicherry,1991,17,1,Villenour,GEN,P. ANANDABASKARAN,M,,,8190,INC,#019733
Pondicherry,1991,18,1,Ozhukarai,GEN,K. NATARAJAN,M,,,8566,ADMK,#9DBC2A
Pondicherry,1991,19,1,Thattanchavady,GEN,N. RANGASAMY,M,,,12545,INC,#019733
Pondicherry,1991,20,1,Reddiarpalayam,GEN,R. VISWANATHAN,M,,,13134,CPI,#DE0000
Pondicherry,1991,21,1,Lawspet,GEN,P. KANANN,M,,,13475,INC,#019733
Pondicherry,1991,22,1,Cotchery,GEN,R. NALAMAHARAJAN,M,,,5051,IND,#888888
Pondicherry,1991,23,1,Karaikal,GEN,A. M. H. NAZEEM,M,,,6809,DMK,#800000
Pondicherry,1991,24,1,Karaikal South,GEN,A. V. SUBRAMANIAN,M,,,6189,INC,#019733
Pondicherry,1991,25,1,Neravy-Grand Aldee,GEN,V. M. C. V. GANAPATHY,M,,,6384,ADMK,#9DBC2A
Pondicherry,1991,26,1,Tirunallar,GEN,A. SOUNDARARENGAN,M,,,4401,DMK,#800000
Pondicherry,1991,27,1,Neduncadu,SC,M. CHANDIRAKASU,M,,,5955,INC,#019733
Pondicherry,1991,28,1,Mahe,GEN,E. VALSARAJ,M,,,5099,INC,#019733
Pondicherry,1991,29,1,Palloor,GEN,A. V. SREEDHARAN,M,,,4922,INC,#019733
Pondicherry,1991,30,1,Yanam,GEN,VELAGA RAJESWARA RAO,M,,,6331,INC,#019733
Pondicherry,1996,1,1,Muthialpet,GEN,S. ANANDAVELU,M,,,11009,ADMK,#9DBC2A
Pondicherry,1996,2,1,Cassicade,GEN,P. KANNAN,M,,,6501,IND,#888888
Pondicherry,1996,3,1,Raj Bhavan,GEN,S.P. SIVAKUMAR,M,,,2697,DMK,#800000
Pondicherry,1996,4,1,Bussy,GEN,C.M. ACHRAFF,M,,,2208,INC,#019733
Pondicherry,1996,5,1,Oupalam,GEN,S. RATHINAM @ MANOHAR,M,,,6866,TMC(M),#000080
Pondicherry,1996,6,1,Orleampeth,GEN,R. SIVA,M,,,8105,DMK,#800000
