constituency,name,party,margin,state,votes,Year,rank
Riga,AMIT KUMAR,Indian National Congress,22856,Bihar,79217,2015,1
Rosera (SC),DR. ASHOK KUMAR,Indian National Congress,34361,Bihar,85506,2015,1
Runnisaidpur,MANGITA DEVI,Rashtriya Janata Dal,14110,Bihar,55699,2015,1
Rupauli,BIMA BHARTI,Janata Dal (United),9672,Bihar,50945,2015,1
Saharsa,ARUN KUMAR,Rashtriya Janata Dal,39206,Bihar,102850,2015,1
Sahebganj,RAMVICHAR RAI,Rashtriya Janata Dal,10660,Bihar,70583,2015,1
Sahebpur Kamal,SHREENARAYAN YADAV,Rashtriya Janata Dal,45474,Bihar,78225,2015,1
Sakra (SC),LAL BABU RAM,Rashtriya Janata Dal,13012,Bihar,75010,2015,1
Samastipur,AKHTARUL ISLAM SHAHEEN,Rashtriya Janata Dal,31080,Bihar,82508,2015,1
Sandesh,ARUN KUMAR,Rashtriya Janata Dal,25427,Bihar,74306,2015,1
Sarairanjan,VIJAY KUMAR CHOUDHARY,Janata Dal (United),34044,Bihar,81055,2015,1
Sasaram,ASHOK KUMAR,Rashtriya Janata Dal,19612,Bihar,82766,2015,1
Shahpur,RAHUL TIWARY,Rashtriya Janata Dal,14570,Bihar,69315,2015,1
Sheikhpura,RANDHIR KUMAR SONI,Janata Dal (United),13101,Bihar,41755,2015,1
