year,constituency,ST_NAME,AC_NO,rank,AC_TYPE,name,SEX,AGE,CATEGORY,party,votes,color,polled_votes
1967,Nagercoil,Tamil Nadu,229,1,GEN,M.C.Balan,M,0,,DMK,36502,#c0392b,66312
1967,Kollachal,Tamil Nadu,230,1,GEN,A.C.Nader,M,0,,INC,29325,#2ecc71,60623
1967,Padmanabhapuram,Tamil Nadu,231,1,GEN,V.George,M,0,,INC,24661,#2ecc71,53541
1967,Thiruvattar,Tamil Nadu,232,1,GEN,J.James,M,0,,INC,29345,#2ecc71,53875
1967,Vilavancode,Tamil Nadu,233,1,GEN,R.P.Nadar,M,0,,INC,27511,#2ecc71,48961
1967,Killiyoor,Tamil Nadu,234,1,GEN,William,M,0,,INC,21423,#2ecc71,50528
1971,Washermanpet,Tamil Nadu,1,1,GEN,M.Vedachalam,M,0,,DMK,38989,#c0392b,72143
1971,Harbour,Tamil Nadu,2,1,GEN,A M Mohideen,M,0,,IND,29225,#bdc3c7,59115
1971,Basin Bridge,Tamil Nadu,3,1,GEN,M R Kannan,M,0,,DMK,48959,#c0392b,86301
1971,Park Town,Tamil Nadu,4,1,GEN,H V Hande,M,0,,SWA,30743,#222,56199
1971,Perambur,Tamil Nadu,5,1,SC,Sathivanimuthu,M,0,,DMK,49070,#c0392b,87056
