#,AC_NAME,AC_NO,Deposit Threshold,EVM Votes,Migrant Votes,Migrant Votes ,NAME,O.S.N.,party_code,Polled_Votes,Postal Votes,Rank,ST_CD,ST_NAME,State-code,VOTES,Vote %,YEAR,color_code,PARTY,polled_votes,vote_percent
5,Eluru,10,0,20284,0,0,JETTI GURUNADHA RAO,3,Indian National Congress,1327923,94,5,S01,Andhra Pradesh,S01,20378,1.53457693,2019,#3498DB,INC,1327923,1.53
2,Eluru,10,1,509549,0,0,MAGANTTI VENKATESWARA RAO BABU,4,Telugu Desam,1327923,1335,2,S01,Andhra Pradesh,S01,510884,38.47241143,2019,#AB9005,TDP,1327923,38.47
8,Eluru,10,0,2932,0,0,CHINA VENKATA SURYANARAYANA JOSYULA,5,Pyramid Party of India,1327923,3,8,S01,Andhra Pradesh,S01,2935,0.221021851,2019,#363636,PPI,1327923,0.22
3,Eluru,10,0,76481,0,0,PENTAPATI PULLARAO,6,Janasena Party,1327923,346,3,S01,Andhra Pradesh,S01,76827,5.785501117,2019,#D22215,JP,1327923,5.79
9,Eluru,10,0,1871,0,0,MATHE. BOBBY,7,Republican Party of India (A),1327923,8,9,S01,Andhra Pradesh,S01,1879,0.141499168,2019,#363636,RPI(A),1327923,0.14
11,Eluru,10,0,1261,0,0,V. SIVA RAMA KRISHNA,8,Jana Jagruti Party,1327923,0,11,S01,Andhra Pradesh,S01,1261,0.094960325,2019,,,1327923,0.09
10,Eluru,10,0,1648,0,0,ALAGA. RAVI KUMAR,9,Independent,1327923,0,10,S01,Andhra Pradesh,S01,1648,0.124103581,2019,#CEB58C,IND,1327923,0.12
7,Eluru,10,0,3010,0,0,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),10,Independent,1327923,0,7,S01,Andhra Pradesh,S01,3010,0.226669769,2019,#CEB58C,IND,1327923,0.23
4,Eluru,10,0,23861,0,0,NOTA,11,None of the Above,1327923,19,4,S01,Andhra Pradesh,S01,23880,1.79829704,2019,#DDD1CA,NOTA,1327923,1.8
2,Machilipatnam,11,1,508570,0,0,KONAKALLA NARAYANA RAO,1,Telugu Desam,1241605,2725,2,S01,Andhra Pradesh,S01,511295,41.18016599,2019,#AB9005,TDP,1241605,41.18
