constituency,1957,1960,1965,1967,1970,1977,1980,1982,1987,1991,1996,2001,2006,2011,2016
Vallikkunnu,,,,,,,,,,,,,,IUML,IUML
Vamanapuram,,,INC,CPM,INC,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM,CPM
Varkala,CPI,INC,INC,CPI,CPI,CPI,CPM,CPM,CPM,CPM,CPM,INC,INC,INC,CPM
Vattiyoorkavu,,,,,,,,,,,,,,INC,INC
Vazhoor,INC,INC,KEC,CPI,KEC,KEC,KEC,CPI,CPI,KEC,KEC(M),KEC(M),KEC(M),,
Vengara,,,,,,,,,,,,,,IUML,IUML
Vilappil,PSP,PSP,INC,SSP,INC,,,,,,,,,,
Vypen,,,,,,,,,,,,,,CPM,CPM
Wadakkanchery,CPI,PSP,SSP,SSP,CPM,INC,INC,INC,INC,INC,INC,INC,CPM,INC,INC
Wandoor,,,,,,INC,INC,INC,INC,INC,CPM,INC,INC,INC,INC
Wynad,INC,INC,,,,,,,,,,,,,
