PARTY,YEAR,AC_NAME,ST_NAME,AC_NO,rank,AC_TYPE,NAME,SEX,AGE,CATEGORY,VOTES,polled_votes,color
ADMK,1974,Raj Bhavan,Pondicherry,3,2,GEN,"JOTHI, K.",M,,,1104,4284,#b2d33c
DMK,1974,Raj Bhavan,Pondicherry,3,3,GEN,"SELVARADJOU, M. L.",M,,,781,4284,#c0392b
ADMK,1974,Bussy,Pondicherry,4,1,GEN,"PAKKIAM, S.",M,,,1680,4354,#b2d33c
NCO,1974,Bussy,Pondicherry,4,2,GEN,"JAYARAJ, A.",M,,,1441,4354,#1F77B4
DMK,1974,Bussy,Pondicherry,4,3,GEN,"ACHRAFT, C. M.",M,,,1233,4354,#c0392b
ADMK,1974,Oupalam,Pondicherry,5,1,GEN,"PARTHASARATHY, C. N.",M,,,3198,6828,#b2d33c
NCO,1974,Oupalam,Pondicherry,5,2,GEN,"RAGHAVA CHETTIAR,P.",M,,,2112,6828,#1F77B4
DMK,1974,Oupalam,Pondicherry,5,3,GEN,"GOVINDARAJULU, S.",M,,,1282,6828,#c0392b
INC,1974,Oupalam,Pondicherry,5,4,GEN,"BAKHTAVACHALAM, T.",M,,,236,6828,#2ecc71
ADMK,1974,Orleampeth,Pondicherry,6,1,GEN,"MANIMARAN, N.",M,,,3833,7912,#b2d33c
INC,1974,Orleampeth,Pondicherry,6,2,GEN,"VAIDYANATHAN, R.",M,,,2356,7912,#2ecc71
DMK,1974,Orleampeth,Pondicherry,6,3,GEN,"GANESAN, N.",M,,,1615,7912,#c0392b
IND,1974,Orleampeth,Pondicherry,6,4,GEN,"MUNISWAMY, V. G.",M,,,57,7912,#bdc3c7
IND,1974,Orleampeth,Pondicherry,6,5,GEN,MARIUS BALA,M,,,51,7912,#bdc3c7
NCO,1974,Nellithope,Pondicherry,7,1,GEN,"KANNAN, R.",M,,,2495,6606,#1F77B4
CPI,1974,Nellithope,Pondicherry,7,2,GEN,"RANGANATHAN, N.",M,,,2369,6606,#ff5757
DMK,1974,Nellithope,Pondicherry,7,3,GEN,"PUVIARASU, E.",M,,,1742,6606,#c0392b
NCO,1974,Modeliarpeth,Pondicherry,8,1,GEN,SABAPATHY ALIAS KOTHANDARAMAN,M,,,3889,9031,#1F77B4
CPI,1974,Modeliarpeth,Pondicherry,8,2,GEN,"ALWAR, R.",M,,,3328,9031,#ff5757
DMK,1974,Modeliarpeth,Pondicherry,8,3,GEN,"VEDANAYAGAM, S.",M,,,1473,9031,#c0392b
CPM,1974,Modeliarpeth,Pondicherry,8,4,GEN,"GOVIDASAMY, M.",M,,,341,9031,#ff5757
INC,1974,Arinkuppam,Pondicherry,9,1,GEN,"PURUSHOTHAMAN, P. C.",M,,,3364,9076,#2ecc71
DMK,1974,Arinkuppam,Pondicherry,9,2,GEN,"SUBBARAYAN, P.",M,,,3017,9076,#c0392b
CPI,1974,Arinkuppam,Pondicherry,9,3,GEN,SARASWATI SUBBIAH,F,,,2460,9076,#ff5757
CPM,1974,Arinkuppam,Pondicherry,9,4,GEN,"CHAKRAPANI, P.",M,,,235,9076,#ff5757
INC,1974,Embalom,Pondicherry,10,1,SC,G. MURUGESAN,M,,,3140,6663,#2ecc71
DMK,1974,Embalom,Pondicherry,10,2,SC,SIVALOGANATHAN,M,,,1994,6663,#c0392b
CPI,1974,Embalom,Pondicherry,10,3,SC,P. S. PERUMAL,M,,,1529,6663,#ff5757
INC,1974,Nettapakkam,Pondicherry,11,1,GEN,V. VENGATASUBBA REDDI,M,,,4072,7317,#2ecc71
ADMK,1974,Nettapakkam,Pondicherry,11,2,GEN,S. VENGATACHALAPATHI,M,,,2598,7317,#b2d33c
DMK,1974,Nettapakkam,Pondicherry,11,3,GEN,S. RAMAMOORTHI,M,,,647,7317,#c0392b
ADMK,1974,Kuruvinatham,Pondicherry,12,1,GEN,VENGATASAMY,M,,,3445,7741,#b2d33c
NCO,1974,Kuruvinatham,Pondicherry,12,2,GEN,SUBRAMANIA PADAYATCHI,M,,,2642,7741,#1F77B4
DMK,1974,Kuruvinatham,Pondicherry,12,3,GEN,V. DHAMODARAN,M,,,1654,7741,#c0392b
CPI,1974,Bahour,Pondicherry,13,1,SC,THANGAVEL CLAMANSO,M,,,2727,7034,#ff5757
IND,1974,Bahour,Pondicherry,13,2,SC,P. UTHARAVELU,M,,,2211,7034,#bdc3c7
NCO,1974,Bahour,Pondicherry,13,3,SC,S. NARAYANASWAMY,M,,,1538,7034,#1F77B4
DMK,1974,Bahour,Pondicherry,13,4,SC,K. KRISHNASWAMY,M,,,558,7034,#c0392b
INC,1974,Thirubuvanai,Pondicherry,14,1,SC,A. GOPAL,M,,,2672,7644,#2ecc71
ADMK,1974,Thirubuvanai,Pondicherry,14,2,SC,THANGAVELU,M,,,2637,7644,#b2d33c
DMK,1974,Thirubuvanai,Pondicherry,14,3,SC,SAMIKANNU,M,,,2039,7644,#c0392b
CPM,1974,Thirubuvanai,Pondicherry,14,4,SC,GOVINDHAN,M,,,270,7644,#ff5757
IND,1974,Thirubuvanai,Pondicherry,14,5,SC,GODHANDAPANI BASKARA,M,,,26,7644,#bdc3c7
ADMK,1974,Mannadipath,Pondicherry,15,1,GEN,D. RAMACHANDIRA REDDIAR,M,,,3467,7537,#b2d33c
NCO,1974,Mannadipath,Pondicherry,15,2,GEN,KANNAPPAN,M,,,2132,7537,#1F77B4
DMK,1974,Mannadipath,Pondicherry,15,3,GEN,K. RAJARAM,M,,,1938,7537,#c0392b
ADMK,1974,Ossudu,Pondicherry,16,1,SC,T. EZHUMALAI,M,,,3426,7163,#b2d33c
INC,1974,Ossudu,Pondicherry,16,2,SC,V. NAGARATHINAM,M,,,2461,7163,#2ecc71
DMK,1974,Ossudu,Pondicherry,16,3,SC,G. THANAGARASSU,M,,,1276,7163,#c0392b
NCO,1974,Villenour,Pondicherry,17,1,GEN,M. K. JEEVARATHINA ODAYAR,M,,,2812,7601,#1F77B4
ADMK,1974,Villenour,Pondicherry,17,2,GEN,"THIRUKAMU, K.",M,,,2606,7601,#b2d33c
DMK,1974,Villenour,Pondicherry,17,3,GEN,"ARUMUGAM, S.",M,,,2183,7601,#c0392b
ADMK,1974,Orhukarai,Pondicherry,18,1,GEN,"VENUGOPAL ALIAS MANNATHAN, G.",M,,,2982,7560,#b2d33c
DMK,1974,Orhukarai,Pondicherry,18,2,GEN,"MUTHU, S.",M,,,2278,7560,#c0392b
INC,1974,Orhukarai,Pondicherry,18,3,GEN,RAMACHANDRAN P.,M,,,1784,7560,#2ecc71
IND,1974,Orhukarai,Pondicherry,18,4,GEN,"LAZAR THEIR, A.",M,,,516,7560,#bdc3c7
NCO,1974,Thattanchavady,Pondicherry,19,1,GEN,"PETHAPERUMAL, V.",M,,,3468,7402,#1F77B4
CPI,1974,Thattanchavady,Pondicherry,19,2,GEN,"GURUSAMY, N.",M,,,2710,7402,#ff5757
DMK,1974,Thattanchavady,Pondicherry,19,3,GEN,"VEERARAGAVALU, P. K.",M,,,1224,7402,#c0392b
CPI,1974,Reddiapalayam,Pondicherry,20,1,GEN,SUBBIAH V.,M,,,3345,7586,#ff5757
NCO,1974,Reddiapalayam,Pondicherry,20,2,GEN,"BALAJI, V.",M,,,2876,7586,#1F77B4
