AC_NAME,AC_NO,AC_TYPE,AGE,CATEGORY,NAME,PARTY,SEX,ST_NAME,VOTES,YEAR,polled_votes,rank
Cannanore I,107,GEN,,,GOPALAN OTHAYOTH,INC,M,Kerala,17413,1957,43959,2
Cannanore I,107,GEN,,,KUNHALIKUTTY KEYI C. P.,IND,M,Kerala,9082,1957,43959,3
Cannanore I I,108,GEN,,,GOPALAN K. P.,CPI,M,Kerala,21493,1957,46479,1
Cannanore I I,108,GEN,,,MADHAVAN PAMBAN,INC,M,Kerala,18776,1957,46479,2
Cannanore I I,108,GEN,,,THUNDIKOTH KANNAMBRATH RAGHAVAN,PSP,M,Kerala,6210,1957,46479,3
Madai,109,GEN,,,GOPALAN NAMBIAR K. P. R.,CPI,M,Kerala,24390,1957,47024,1
Madai,109,GEN,,,T. NARAYANAN NAMBIAR,INC,M,Kerala,12169,1957,47024,2
Madai,109,GEN,,,KUNHIKOYA THANGAL P.,IND,M,Kerala,10465,1957,47024,3
Irikkur,110,GEN,,,NARAYANAN NAMBIAR T. C.,CPI,M,Kerala,24518,1957,43344,1
Irikkur,110,GEN,,,NARAYANAN NAMBISSAN,INC,M,Kerala,11052,1957,43344,2
Irikkur,110,GEN,,,ANTONY PHILIPOSE,IND,M,Kerala,7774,1957,43344,3
Nileswar,111,SC,,,KALLALAN (SC),CPI,M,Kerala,44754,1957,147696,1
Nileswar,111,SC,,,NAMBOODIRIPAD E. M. S.,CPI,M,Kerala,38090,1957,147696,2
Nileswar,111,SC,,,KORAN T. V.,PSP,M,Kerala,24202,1957,147696,3
Nileswar,111,SC,,,UNNIKRISHNAN THIRUMUNPA T.,INC,M,Kerala,20938,1957,147696,4
Nileswar,111,SC,,,ACHU KOYON P. (SC),INC,M,Kerala,19712,1957,147696,5
Hosdrug,112,GEN,,,CHANDRASKHARAN K.,PSP,M,Kerala,14150,1957,36521,1
Hosdrug,112,GEN,,,MADHAVAN K.,CPI,M,Kerala,11209,1957,36521,2
Hosdrug,112,GEN,,,KUMARAN NAIR K. P.,INC,M,Kerala,11162,1957,36521,3
Kasergod,113,GEN,,,KUNHIKRISHAN NAIR CHERIPADY,INC,M,Kerala,10290,1957,26865,1
Kasergod,113,GEN,,,NARAYANAN NAMBIAR,PSP,M,Kerala,10096,1957,26865,2
Kasergod,113,GEN,,,GANSPATHY KAMATH N.,CPI,M,Kerala,6479,1957,26865,3
Manjeswar,114,GEN,,,M. UMESH RAO,IND,M,Kerala,,1957,,1
Parassala,1,GEN,,,M. KUNJUKRISHNAN NADAR,IND,M,Kerala,18848,1960,52368,1
Parassala,1,GEN,,,THANGAYYAN,CPI,M,Kerala,18096,1960,52368,2
Parassala,1,GEN,,,KUTTAN NADAR,INC,M,Kerala,15424,1960,52368,3
Neyyattinkara,2,GEN,,,P. NARAYANAN THAMPI,PSP,M,Kerala,31707,1960,64478,1
Neyyattinkara,2,GEN,,,R. JANARDHANAN NAIR,CPI,M,Kerala,30756,1960,64478,2
Neyyattinkara,2,GEN,,,P. CHELLAPPAN NADAR,IND,M,Kerala,2015,1960,64478,3
Vilapil,3,GEN,,,PONNARA G. SREEDHAR,PSP,M,Kerala,27929,1960,53363,1
Vilapil,3,GEN,,,SURENDRANATH,CPI,M,Kerala,24732,1960,53363,2
Vilapil,3,GEN,,,SANKARAN NAIR,IND,M,Kerala,394,1960,53363,3
