constituency,1967,1971,1977,1980,1984,1989,1991,1996,2001,2006,2011,2016,2021,2026
Thirumangalam,INC,Others,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,MDMK,ADMK,ADMK,ADMK,DMK
Thirunavalur,,,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,,,,
Thiruporur,,,,,,,,,,,ADMK,ADMK,VCK,TVK
Thirupparankundram,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,ADMK,DMDK,ADMK,ADMK,TVK
Thiruthuraipoondi,DMK,CPI,CPI,CPM,CPI,CPI,CPI,CPI,CPI,CPI,CPI,DMK,CPI,CPI
Thiruvaiyaru,DMK,DMK,DMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,DMK
Thiruvallur,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,TMC,DMK,ADMK,DMK,DMK,TVK
Thiruvarur,CPM,DMK,DMK,CPM,CPM,CPM,CPM,DMK,DMK,DMK,DMK,DMK,DMK,DMK
Thiruvattar,INC,NCO,JNP,CPM,CPM,INC,INC,DMK,CPM,CPM,,,,
Thiruverumbur,INC,DMK,DMK,ADMK,ADMK,CPM,ADMK,DMK,DMK,DMK,DMDK,DMK,DMK,TVK
Thiruvidaimarudur,,,DMK,DMK,INC,DMK,INC,DMK,ADMK,ADMK,DMK,DMK,DMK,DMK
Thiru-Vi-Ka-Nagar,,,,,,,,,,,ADMK,DMK,DMK,TVK
Thiruvonam,,,ADMK,INC,INC,DMK,ADMK,DMK,ADMK,DMK,,,,
Thiruvottiyur,DMK,DMK,ADMK,Others,INC,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,TVK
Thondamuthur,DMK,DMK,ADMK,ADMK,ADMK,CPM,ADMK,DMK,TMC,MDMK,ADMK,ADMK,ADMK,ADMK
Thoothukkudi,DMK,DMK,ADMK,ADMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,ADMK,DMK,DMK,TVK
