state,pc,party,name,age,category,color,electors,polled_votes,rank,sex,votes,year,poll_date,education,gender,assets,criminal_cases
Uttar Pradesh,Ambedkar Nagar,Bharatiya Janata Party,hariompandey,58,GEN,#FB7B0D,,1034404,1,,432104,2014,07-05-2014,Post Graduate,Male,15318114,0
Uttar Pradesh,Bahraich,Bharatiya Janata Party,sadhvisavitribaifoole,33,GEN,#FB7B0D,,934263,1,,432392,2014,07-05-2014,Graduate,Female,1121491,8
Uttar Pradesh,Basti,Bharatiya Janata Party,harishchandraaliasharishdwivedi,40,GEN,#FB7B0D,,1048534,1,,357680,2014,07-05-2014,Post Graduate,Male,5350882,2
Uttar Pradesh,Lalganj,Bharatiya Janata Party,neelamsonkar,38,GEN,#FB7B0D,,898655,1,,324016,2014,12-05-2014,Post Graduate,Female,33863562,1
Uttar Pradesh,Jaunpur,Bharatiya Janata Party,krishnapratap'kp',37,GEN,#FB7B0D,,1007143,1,,367149,2014,12-05-2014,Doctorate,Male,40656909,0
Uttar Pradesh,Chandauli,Bharatiya Janata Party,drmahendranathpandey,57,GEN,#FB7B0D,,980572,1,,414135,2014,12-05-2014,Doctorate,Male,26489505,0
West Bengal,Cooch Behar,All India Trinamool Congress,renukasinha,,,#0C6965,,1332409,1,,526499,2014,,,,,
West Bengal,Darjeeling,Bharatiya Janata Party,ssahluwalia,63,GEN,#FB7B0D,,1142009,1,,488257,2014,17-04-2014,Graduate Professional,Male,23377223,0
West Bengal,Maldaha Dakshin,Indian National Congress,abuhasemkhanchowdhury,70,GEN,#019733,,1092407,1,,380291,2014,24-04-2014,Doctorate,Male,11560825,0
West Bengal,Barrackpore,All India Trinamool Congress,dineshtrivedi,,,#0C6965,,1051130,1,,479206,2014,,,,,
West Bengal,Joynagar,All India Trinamool Congress,pratimamondal,,,#0C6965,,1186052,1,,494746,2014,,,,,
West Bengal,Srerampur,All India Trinamool Congress,kalyanbanerjee,,,#0C6965,,1290433,1,,514933,2014,,,,,
West Bengal,Hooghly,All India Trinamool Congress,drratnadenag,62,GEN,#0C6965,,1348870,1,,614312,2014,30-04-2014,Post Graduate,Female,18617758,0
West Bengal,Arambagh,All India Trinamool Congress,aparupapoddarafrinali,,,#0C6965,,1361934,1,,748764,2014,,,,,
West Bengal,Tamluk,All India Trinamool Congress,adhikarisuvendu,44,GEN,#0C6965,,1337684,1,,716928,2014,12-05-2014,Post Graduate,Male,6480767,2
West Bengal,Kanthi,All India Trinamool Congress,adhikarisisirkumar,74,GEN,#0C6965,,1290811,1,,676749,2014,12-05-2014,12th,Male,19498381,1
West Bengal,Ghatal,All India Trinamool Congress,adhikarideepakdev,32,GEN,#0C6965,,1366709,1,,685696,2014,12-05-2014,10th,Male,152447159,0
West Bengal,Purulia,All India Trinamool Congress,drmrigankamahato,51,GEN,#0C6965,,1204675,1,,468277,2014,07-05-2014,Graduate Professional,Male,8895210,0
West Bengal,Bishnupur,All India Trinamool Congress,khansaumitra,34,GEN,#0C6965,,1272070,1,,578870,2014,07-05-2014,12th,Male,1197255,1
West Bengal,Burdwan - Durgapur,All India Trinamool Congress,drmamtazsanghamita,,,#0C6965,,1331242,1,,554521,2014,,,,,
West Bengal,Asansol,Bharatiya Janata Party,babulsupriyabaralbabulsupriyo,44,GEN,#FB7B0D,,1142395,1,,419983,2014,07-05-2014,Graduate,Male,75289537,0
West Bengal,Birbhum,All India Trinamool Congress,satabdiroy,45,GEN,#0C6965,,1275819,1,,460568,2014,30-04-2014,Graduate,Female,54972174,0
Chhattisgarh,Sarguja,Bharatiya Janata Party,kamalbhansinghmarabi,,,#FB7B0D,,1187321,1,,585336,2014,,,,,
Chhattisgarh,Raigarh,Bharatiya Janata Party,vishnudeosai,50,GEN,#FB7B0D,,1246186,1,,662478,2014,24-04-2014,10th,Male,21576220,0
Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,kamlapatle,48,GEN,#FB7B0D,,1073347,1,,518909,2014,24-04-2014,12th,Male,18224350,0
Chhattisgarh,Korba,Bharatiya Janata Party,drbanshilalmahto,73,GEN,#FB7B0D,,1052720,1,,439002,2014,24-04-2014,Graduate Professional,Male,72303762,0
Chhattisgarh,Bilaspur,Bharatiya Janata Party,lakhanlalsahu,43,GEN,#FB7B0D,,1090457,1,,561387,2014,24-04-2014,Post Graduate,Male,8661133,0
