party,state,constituency,poll_date,name,age,gender,education,category,assets,criminal_cases,color,party_name
INC,Uttar Pradesh,Bareilly,17-04-2014,praveensingharon,55,Male,Graduate Professional,GEN,274576248,1,#019733,Indian National Congress
AAP,Uttar Pradesh,Lucknow,30-04-2014,syedjawedahmadjafri,52,Male,12th,GEN,266571149,0,,Aam Aadmi Party
IND,Maharashtra,Madha,17-04-2014,mohite-patilpratapsinhshankarrao,58,Male,Graduate,GEN,262989287,1,,Independent
INC,Jharkhand,Lohardaga,10-04-2014,rameshwaroraon,67,Male,Doctorate,GEN,262697987,0,#019733,Indian National Congress
SP,Uttar Pradesh,Shrawasti,07-05-2014,atiqahmad,51,Male,10th,GEN,259378861,42,#B15928,Samajwadi Party
INC,Jharkhand,Ranchi,17-04-2014,subodhkantsahai,60,Male,Graduate Professional,GEN,258895068,1,#019733,Indian National Congress
AAP,Gujarat,Gandhinagar,30-04-2014,mehtariturajgautamchand,47,Male,Graduate,GEN,257990872,0,,Aam Aadmi Party
INC,Madhya Pradesh,Satna,10-04-2014,ajayarjunsingh,58,Male,Post Graduate,GEN,254876883,2,#019733,Indian National Congress
SHS,Maharashtra,Shirur,17-04-2014,adhalraoshivajidattatrey,59,Male,Post Graduate,GEN,253598315,10,#F05A00,Shivsena
INC,Punjab,Firozpur,30-04-2014,suniljakhar,60,Male,Post Graduate,GEN,253069342,0,#019733,Indian National Congress
IND,Rajasthan,Dausa,24-04-2014,shivpalsinghgujjar,42,Male,12th,GEN,252107430,2,,Independent
BJP,Uttar Pradesh,Etah,24-04-2014,rajvirsingh,53,Male,Graduate Professional,GEN,251921157,0,#FB7B0D,Bharatiya Janata Party
SP,Karnataka,Chikkballapur,17-04-2014,robinmathewsnarekattu,48,Male,Post Graduate,GEN,251460907,0,#B15928,Samajwadi Party
