#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
2,Kumbi,29,Ahanthem Shanjoy Singh,JD(U),8141,2022,26087,31.21
5,Kumbi,29,Naorem Sorojini Devi,IND,330,2022,26087,1.26
6,Kumbi,29,NOTA,NOTA,147,2022,26087,0.56
2,Lilong,30,Y. Antas Khan,BJP,16316,2022,33969,48.03
3,Lilong,30,Syed Anwar Hussain,INC,445,2022,33969,1.31
1,Lilong,30,Mohd Abdul Nasir,JD(U),16886,2022,33969,49.71
4,Lilong,30,Abdul Manan,IND,162,2022,33969,0.48
6,Lilong,30,Md Irshad Hussain,IND,20,2022,33969,0.06
5,Lilong,30,NOTA,NOTA,140,2022,33969,0.41
1,Thoubal,31,Okram Ibobi Singh,INC,15085,2022,29581,51
2,Thoubal,31,Leitanthem Basanta Singh,BJP,12542,2022,29581,42.4
5,Thoubal,31,Irom Chaoba Singh,JD(U),145,2022,29581,0.49
3,Thoubal,31,Konsam Michael Singh,SHS,1622,2022,29581,5.48
4,Thoubal,31,NOTA,NOTA,187,2022,29581,0.63
7,Wangkhem,32,Oinam Haridas Singh,NCP,82,2022,30277,0.27
1,Wangkhem,32,Keisham Meghachandra Singh,INC,8889,2022,30277,29.36
4,Wangkhem,32,Kharibam Jiban Singh,NPP,3474,2022,30277,11.47
