#,AC_NAME,AC_NO,NAME,PARTY,VOTES,YEAR,polled_votes,vote_percent
5,Margao,31,Cedric Isidorio D'Costa,IND,250.0,2012,22149.0,1.13
1,Benaulim,32,Caetano R. Silva,GVP,9695.0,2012,21097.0,45.95
2,Benaulim,32,Valanka Alemao,INC,7694.0,2012,21097.0,36.47
3,Benaulim,32,Humberto Gomes,IND,1775.0,2012,21097.0,8.41
4,Benaulim,32,John Fernandes,AITC,1277.0,2012,21097.0,6.05
5,Benaulim,32,Ashley Francis Dias,IND,289.0,2012,21097.0,1.37
6,Benaulim,32,P. Xavier George,IND,245.0,2012,21097.0,1.16
7,Benaulim,32,Subhash Shivnath,IND,122.0,2012,21097.0,0.58
1,Navelim,33,Avertano Furtado,IND,10231.0,2012,18780.0,54.48
2,Navelim,33,Churchill Alemao,INC,8086.0,2012,18780.0,43.06
3,Navelim,33,Iliyas Shaikh,IND,261.0,2012,18780.0,1.39
4,Navelim,33,Jose Paul Coutinho,JD(U),202.0,2012,18780.0,1.08
1,Cuncolim,34,Subhash Alias Rajan,BJP,7738.0,2012,20740.0,37.31
2,Cuncolim,34,Alemao Joaquim,INC,6425.0,2012,20740.0,30.98
3,Cuncolim,34,John Inacio Monteiro,IND,4830.0,2012,20740.0,23.29
4,Cuncolim,34,Milagres Gonsalves,IND,603.0,2012,20740.0,2.91
5,Cuncolim,34,Jose Alias Brany,UGDP,543.0,2012,20740.0,2.62
6,Cuncolim,34,Mario Morais,AITC,325.0,2012,20740.0,1.57
7,Cuncolim,34,Rony Rodrigues,IND,191.0,2012,20740.0,0.92
8,Cuncolim,34,Derick Dias,JD(U),85.0,2012,20740.0,0.41
1,Velim,35,Benjamin Silva,IND,13164.0,2012,22128.0,59.49
2,Velim,35,Filipe Nery Rodrigues,INC,8238.0,2012,22128.0,37.23
3,Velim,35,Cliffton Desouza,IND,386.0,2012,22128.0,1.74
4,Velim,35,Michael Beny Da Costa,AITC,340.0,2012,22128.0,1.54
1,Quepem,36,Chandrakant Kavalekar,INC,10994.0,2012,24861.0,44.22
2,Quepem,36,Prakash Shankar Velip,IND,4621.0,2012,24861.0,18.59
3,Quepem,36,Prakash Arjun Velip,MAG,4536.0,2012,24861.0,18.25
4,Quepem,36,Colaco Manuel,UGDP,4356.0,2012,24861.0,17.52
5,Quepem,36,Joseph Gonsalves,GVP,354.0,2012,24861.0,1.42
1,Curchorem,37,Nilesh Cabral,BJP,14299.0,2012,19806.0,72.2
2,Curchorem,37,Shyam Gopinath,INC,5507.0,2012,19806.0,27.8
1,Sanvordem,38,Ganesh Chandru,BJP,10585.0,2012,23344.0,45.34
2,Sanvordem,38,Arjun Anil Salgaocar,IND,8294.0,2012,23344.0,35.53
3,Sanvordem,38,Ramnath Alias Deepak,IND,2828.0,2012,23344.0,12.11
4,Sanvordem,38,Govind Sawant,INC,1328.0,2012,23344.0,5.69
5,Sanvordem,38,Prashant Budho,CPM,309.0,2012,23344.0,1.32
1,Sanguem,39,Subhash U. Phal Dessai,BJP,7454.0,2012,21501.0,34.67
2,Sanguem,39,Alemao Yuri,NCP,6971.0,2012,21501.0,32.42
3,Sanguem,39,Prasad Shashikant,IND,5737.0,2012,21501.0,26.68
4,Sanguem,39,D'Costa Minguelino,GVP,880.0,2012,21501.0,4.09
5,Sanguem,39,Eddie De Souza Tavares,IND,227.0,2012,21501.0,1.06
6,Sanguem,39,Arun Krishna Raikar,AITC,134.0,2012,21501.0,0.62
7,Sanguem,39,Sudesh N. Gaonkar,SP,98.0,2012,21501.0,0.46
1,Canacona,40,Ramesh Bombo Tawadkar,BJP,14328.0,2012,26589.0,53.89
2,Canacona,40,Isidore Aleixinho,INC,11624.0,2012,26589.0,43.72
3,Canacona,40,Sapnesh Desai,AITC,637.0,2012,26589.0,2.4
1,Mandrem,1,Dayanand Raghunath Sopte,INC,16490.0,2017,27966.0,58.96
2,Mandrem,1,Laxmikant Parsekar,BJP,9371.0,2017,27966.0,33.51
3,Mandrem,1,Shridhar Ladu Manjrekar,MAG,678.0,2017,27966.0,2.42
4,Mandrem,1,Devendra Krishnaji Prabhu Parsekar Desai,AAP,620.0,2017,27966.0,2.22
6,Mandrem,1,Rajendra M. Satelkar,NCP,234.0,2017,27966.0,0.84
7,Mandrem,1,Sanjay Krishnarao Prabhu Desai,IND,101.0,2017,27966.0,0.36
8,Mandrem,1,Bhim Raghuvir Pednekar,BMP,57.0,2017,27966.0,0.2
5,Mandrem,1,None Of The Above,NOTA,415.0,2017,27966.0,1.48
1,Pernem ,2,Ajgaonkar Manohar Trimbak,MAG,15745.0,2017,27730.0,56.78
2,Pernem ,2,Rajendra Arlekar,BJP,9715.0,2017,27730.0,35.03
3,Pernem ,2,Vikesh Ramesh Assotikar,INC,1013.0,2017,27730.0,3.65
5,Pernem ,2,Shivanand Krishna Pilarnkar,AAP,308.0,2017,27730.0,1.11
6,Pernem ,2,Gopaldas Anant Arlekar,GVP,180.0,2017,27730.0,0.65
7,Pernem ,2,Santosh Shankar Mandrekar,NCP,124.0,2017,27730.0,0.45
8,Pernem ,2,Nitin Mohan Chopdekar,BMP,105.0,2017,27730.0,0.38
9,Pernem ,2,Dnyaneswar Sitaram Varkhankar,GPP,71.0,2017,27730.0,0.26
4,Pernem ,2,None Of The Above,NOTA,469.0,2017,27730.0,1.69
1,Bicholim,3,Rajesh Patnekar,BJP,10654.0,2017,23306.0,45.71
2,Bicholim,3,Naresh Sawal,MAG,9988.0,2017,23306.0,42.86
3,Bicholim,3,Manohar Pandurang Shirodkar,INC,1761.0,2017,23306.0,7.56
4,Bicholim,3,Sainath Patekar,AAP,358.0,2017,23306.0,1.54
5,Bicholim,3,Raut Pandurang Dattaram,GPP,324.0,2017,23306.0,1.39
6,Bicholim,3,None Of The Above,NOTA,221.0,2017,23306.0,0.95
1,Tivim,4,Nilkanth Ramnath Halarnkar,INC,11099.0,2017,22560.0,49.2
2,Tivim,4,Kiran Mohan Kandolkar,BJP,10304.0,2017,22560.0,45.67
3,Tivim,4,Pradeep Amonkar Ghadi,AAP,703.0,2017,22560.0,3.12
4,Tivim,4,Douglas Lawrence Sequeira,NCP,275.0,2017,22560.0,1.22
